timeStamp= 1305031453.359684; T[0]= 0.000000000; T[1]= 0.000000000; T[2]= 0.000000000; x= 0.000000000; y=  0.000000000; z=  0.000000000; w= 1.000000000
timeStamp= 1305031454.191658020; T[0]= -0.177221209; T[1]= 0.131813958; T[2]= -0.234970629; x= 0.068932481; y=  -0.153675258; z=  -0.088369690; w= 0.981744945
timeStamp= 1305031454.227670908; T[0]= -0.189208418; T[1]= 0.120185129; T[2]= -0.233685642; x= 0.067197792; y=  -0.170952141; z=  -0.105945066; w= 0.977259159
timeStamp= 1305031454.259627104; T[0]= -0.191102535; T[1]= 0.125043362; T[2]= -0.235835910; x= 0.073361419; y=  -0.185587168; z=  -0.120694280; w= 0.972424030
timeStamp= 1305031454.291639090; T[0]= -0.198726118; T[1]= 0.133611262; T[2]= -0.237871543; x= 0.073144704; y=  -0.192988634; z=  -0.131805032; w= 0.969552875
timeStamp= 1305031454.327698946; T[0]= -0.218930811; T[1]= 0.126868099; T[2]= -0.237054080; x= 0.072211631; y=  -0.200926691; z=  -0.149105400; w= 0.965495467
timeStamp= 1305031454.359636068; T[0]= -0.224346757; T[1]= 0.130584881; T[2]= -0.240276128; x= 0.078635439; y=  -0.212864101; z=  -0.163166329; w= 0.960146904
timeStamp= 1305031454.391676903; T[0]= -0.229633108; T[1]= 0.139002264; T[2]= -0.242704675; x= 0.081392124; y=  -0.220924526; z=  -0.174276903; w= 0.956135571
timeStamp= 1305031454.427464962; T[0]= -0.243991137; T[1]= 0.142730638; T[2]= -0.242683470; x= 0.083245978; y=  -0.232145309; z=  -0.190207332; w= 0.950263023
timeStamp= 1305031454.459913015; T[0]= -0.240896448; T[1]= 0.145679846; T[2]= -0.241807207; x= 0.086129792; y=  -0.244142845; z=  -0.204543948; w= 0.944000900
timeStamp= 1305031454.491616964; T[0]= -0.247318909; T[1]= 0.152202368; T[2]= -0.244207457; x= 0.088595986; y=  -0.248365864; z=  -0.220724374; w= 0.939013243
timeStamp= 1305031454.527699947; T[0]= -0.252512932; T[1]= 0.162828371; T[2]= -0.246603638; x= 0.089451820; y=  -0.253708154; z=  -0.235856161; w= 0.933810651
timeStamp= 1305031454.559575081; T[0]= -0.257970273; T[1]= 0.170290112; T[2]= -0.247824982; x= 0.087097175; y=  -0.259211808; z=  -0.248975843; w= 0.929104030
timeStamp= 1305031454.591634989; T[0]= -0.266255498; T[1]= 0.179409876; T[2]= -0.248832420; x= 0.085829481; y=  -0.269109815; z=  -0.267044544; w= 0.921357930
timeStamp= 1305031454.627579927; T[0]= -0.263856411; T[1]= 0.181619495; T[2]= -0.253212035; x= 0.083552539; y=  -0.282753110; z=  -0.279988050; w= 0.913606226
timeStamp= 1305031454.659528017; T[0]= -0.263104826; T[1]= 0.190725610; T[2]= -0.257039964; x= 0.078388363; y=  -0.294311702; z=  -0.286924690; w= 0.908245564
timeStamp= 1305031454.691884041; T[0]= -0.263809651; T[1]= 0.196169108; T[2]= -0.252561182; x= 0.071539111; y=  -0.310401917; z=  -0.294319719; w= 0.901059806
timeStamp= 1305031454.727658987; T[0]= -0.254309326; T[1]= 0.192228943; T[2]= -0.255887568; x= 0.064436257; y=  -0.325272113; z=  -0.298989058; w= 0.894791305
timeStamp= 1305031454.759732008; T[0]= -0.247333586; T[1]= 0.197483391; T[2]= -0.254867315; x= 0.058907509; y=  -0.332477391; z=  -0.295682102; w= 0.893622279
timeStamp= 1305031454.791640997; T[0]= -0.242676437; T[1]= 0.201975942; T[2]= -0.250804424; x= 0.053515535; y=  -0.336534798; z=  -0.288347334; w= 0.894838631
timeStamp= 1305031454.827569962; T[0]= -0.236229092; T[1]= 0.211913571; T[2]= -0.246549144; x= 0.050441008; y=  -0.338805109; z=  -0.282477856; w= 0.896031857
timeStamp= 1305031454.859620094; T[0]= -0.231973976; T[1]= 0.216551945; T[2]= -0.245221376; x= 0.043715961; y=  -0.336264014; z=  -0.275850296; w= 0.899400949
timeStamp= 1305031454.891763926; T[0]= -0.228583530; T[1]= 0.224703878; T[2]= -0.245949119; x= 0.039968662; y=  -0.331074983; z=  -0.268744588; w= 0.903641641
timeStamp= 1305031454.927567005; T[0]= -0.227202296; T[1]= 0.234793097; T[2]= -0.248661473; x= 0.036667388; y=  -0.324443698; z=  -0.262860298; w= 0.907907605
timeStamp= 1305031454.959647894; T[0]= -0.228545129; T[1]= 0.243655771; T[2]= -0.253417164; x= 0.033141896; y=  -0.317972898; z=  -0.257014811; w= 0.911996841
timeStamp= 1305031454.991936922; T[0]= -0.233296528; T[1]= 0.252476662; T[2]= -0.259830236; x= 0.030249767; y=  -0.313276350; z=  -0.251602530; w= 0.915226221
timeStamp= 1305031455.027798891; T[0]= -0.233191475; T[1]= 0.265702546; T[2]= -0.262632281; x= 0.030867184; y=  -0.312606066; z=  -0.248093560; w= 0.916391969
timeStamp= 1305031455.059636116; T[0]= -0.237773106; T[1]= 0.273119837; T[2]= -0.266583055; x= 0.029352279; y=  -0.308865815; z=  -0.246510774; w= 0.918135464
timeStamp= 1305031455.091700077; T[0]= -0.242890149; T[1]= 0.283359051; T[2]= -0.271991402; x= 0.032283183; y=  -0.304614514; z=  -0.245757997; w= 0.919658005
timeStamp= 1305031455.127695084; T[0]= -0.248435840; T[1]= 0.294885546; T[2]= -0.277845085; x= 0.033814166; y=  -0.299175501; z=  -0.244322404; w= 0.921768486
timeStamp= 1305031455.159719944; T[0]= -0.257529050; T[1]= 0.304434568; T[2]= -0.283913732; x= 0.032404840; y=  -0.293751448; z=  -0.240239352; w= 0.924632370
timeStamp= 1305031455.191654921; T[0]= -0.267511129; T[1]= 0.312259048; T[2]= -0.288849443; x= 0.028272465; y=  -0.289381057; z=  -0.234921113; w= 0.927508116
timeStamp= 1305031455.227581024; T[0]= -0.277379841; T[1]= 0.320260286; T[2]= -0.294085979; x= 0.028065044; y=  -0.285510331; z=  -0.229399860; w= 0.930092394
timeStamp= 1305031455.259630919; T[0]= -0.283814490; T[1]= 0.334160954; T[2]= -0.297636956; x= 0.026585815; y=  -0.281000137; z=  -0.223111331; w= 0.933034539
timeStamp= 1305031455.291831017; T[0]= -0.297257692; T[1]= 0.337435663; T[2]= -0.304021448; x= 0.016706325; y=  -0.273905873; z=  -0.214750469; w= 0.937325299
timeStamp= 1305031455.327765942; T[0]= -0.309914440; T[1]= 0.348484874; T[2]= -0.313675165; x= 0.011924197; y=  -0.269197673; z=  -0.204500347; w= 0.941047311
timeStamp= 1305031455.359630108; T[0]= -0.315535009; T[1]= 0.356702089; T[2]= -0.313624769; x= 0.002960589; y=  -0.268881798; z=  -0.198333845; w= 0.942527175
timeStamp= 1305031455.391664982; T[0]= -0.328242004; T[1]= 0.358758211; T[2]= -0.316102803; x= -0.008719270; y=  -0.260989815; z=  -0.190337867; w= 0.946350813
timeStamp= 1305031455.427642107; T[0]= -0.342404187; T[1]= 0.362737417; T[2]= -0.326247931; x= -0.016493462; y=  -0.251913935; z=  -0.180795267; w= 0.950568497
timeStamp= 1305031455.459589005; T[0]= -0.357689202; T[1]= 0.362118870; T[2]= -0.337090969; x= -0.022665663; y=  -0.246095151; z=  -0.172982663; w= 0.953415155
timeStamp= 1305031455.491636992; T[0]= -0.369899511; T[1]= 0.367542028; T[2]= -0.344834596; x= -0.026915142; y=  -0.241889626; z=  -0.162674665; w= 0.956191361
timeStamp= 1305031455.527610064; T[0]= -0.387069285; T[1]= 0.365024865; T[2]= -0.355320990; x= -0.033424880; y=  -0.236635447; z=  -0.150128633; w= 0.959347606
timeStamp= 1305031455.559669018; T[0]= -0.405577153; T[1]= 0.367430329; T[2]= -0.369002759; x= -0.035699774; y=  -0.234684616; z=  -0.137441963; w= 0.961643577
timeStamp= 1305031455.591645002; T[0]= -0.419840872; T[1]= 0.373697609; T[2]= -0.381527364; x= -0.037517704; y=  -0.234365627; z=  -0.123356439; w= 0.963560224
timeStamp= 1305031455.627616882; T[0]= -0.435503602; T[1]= 0.369350791; T[2]= -0.387635171; x= -0.044361942; y=  -0.232565284; z=  -0.110341631; w= 0.965282381
timeStamp= 1305031455.659615040; T[0]= -0.453304470; T[1]= 0.365986079; T[2]= -0.399548233; x= -0.042514332; y=  -0.229078338; z=  -0.104847230; w= 0.966810584
timeStamp= 1305031455.691605091; T[0]= -0.469139010; T[1]= 0.366999418; T[2]= -0.412517101; x= -0.038548511; y=  -0.226599842; z=  -0.105617262; w= 0.967476904
timeStamp= 1305031455.727627993; T[0]= -0.484018117; T[1]= 0.365825504; T[2]= -0.424279243; x= -0.036009263; y=  -0.222533688; z=  -0.110581331; w= 0.967963755
timeStamp= 1305031455.759682894; T[0]= -0.498921931; T[1]= 0.364931405; T[2]= -0.437598646; x= -0.034197435; y=  -0.215832680; z=  -0.113722719; w= 0.969182074
timeStamp= 1305031455.791666031; T[0]= -0.516725063; T[1]= 0.356588900; T[2]= -0.450962663; x= -0.033655770; y=  -0.209024787; z=  -0.113193430; w= 0.970753908
timeStamp= 1305031455.827589989; T[0]= -0.532006621; T[1]= 0.353628546; T[2]= -0.467763633; x= -0.031190177; y=  -0.204539180; z=  -0.112798862; w= 0.971837103
timeStamp= 1305031455.859525919; T[0]= -0.544767976; T[1]= 0.349893093; T[2]= -0.480159938; x= -0.030916361; y=  -0.202212036; z=  -0.114159755; w= 0.972173870
timeStamp= 1305031455.891657114; T[0]= -0.556192815; T[1]= 0.345273823; T[2]= -0.492737114; x= -0.031295337; y=  -0.198887885; z=  -0.114316836; w= 0.972828805
timeStamp= 1305031455.927954912; T[0]= -0.568324924; T[1]= 0.340320706; T[2]= -0.502717972; x= -0.032219663; y=  -0.194810078; z=  -0.115368769; w= 0.973499358
timeStamp= 1305031455.959716082; T[0]= -0.579809904; T[1]= 0.339905173; T[2]= -0.515646815; x= -0.030839007; y=  -0.190072849; z=  -0.117668636; w= 0.974204957
timeStamp= 1305031455.991693974; T[0]= -0.588798046; T[1]= 0.337241709; T[2]= -0.524654031; x= -0.032759707; y=  -0.185410619; z=  -0.120258979; w= 0.974724293
timeStamp= 1305031456.027770042; T[0]= -0.595377982; T[1]= 0.346049935; T[2]= -0.535268784; x= -0.033765025; y=  -0.179361284; z=  -0.124451339; w= 0.975295484
timeStamp= 1305031456.059712887; T[0]= -0.612704396; T[1]= 0.331785679; T[2]= -0.541411281; x= -0.046705183; y=  -0.172002062; z=  -0.133439451; w= 0.974898875
timeStamp= 1305031456.091706991; T[0]= -0.626522660; T[1]= 0.321077198; T[2]= -0.546124458; x= -0.053822402; y=  -0.166601613; z=  -0.139000654; w= 0.974692702
timeStamp= 1305031456.127645016; T[0]= -0.639330626; T[1]= 0.316495180; T[2]= -0.551891088; x= -0.054747142; y=  -0.160989419; z=  -0.140461937; w= 0.975374579
timeStamp= 1305031456.159730911; T[0]= -0.650773168; T[1]= 0.307964236; T[2]= -0.551294923; x= -0.056408186; y=  -0.155193299; z=  -0.140819877; w= 0.976167440
timeStamp= 1305031456.191658020; T[0]= -0.660185874; T[1]= 0.295436740; T[2]= -0.554586589; x= -0.053697761; y=  -0.147204563; z=  -0.138510406; w= 0.977886617
timeStamp= 1305031456.227678061; T[0]= -0.667110026; T[1]= 0.303460300; T[2]= -0.561697364; x= -0.047077388; y=  -0.136759520; z=  -0.134525910; w= 0.980297565
timeStamp= 1305031456.291675091; T[0]= -0.687013268; T[1]= 0.278511584; T[2]= -0.559989154; x= -0.050993156; y=  -0.114774495; z=  -0.126788393; w= 0.983946741
timeStamp= 1305031456.327718019; T[0]= -0.702515483; T[1]= 0.273415327; T[2]= -0.559234262; x= -0.046664089; y=  -0.103176691; z=  -0.121449389; w= 0.986117184
timeStamp= 1305031456.391618967; T[0]= -0.726519406; T[1]= 0.268513829; T[2]= -0.553159773; x= -0.041734565; y=  -0.077051587; z=  -0.112017952; w= 0.989834964
timeStamp= 1305031456.427661896; T[0]= -0.746703207; T[1]= 0.275384098; T[2]= -0.550232887; x= -0.032554183; y=  -0.063734382; z=  -0.105791420; w= 0.991809607
timeStamp= 1305031456.491677046; T[0]= -0.786557972; T[1]= 0.295400888; T[2]= -0.538385272; x= -0.034094032; y=  -0.053088922; z=  -0.094561771; w= 0.993517578
timeStamp= 1305031456.527641058; T[0]= -0.800633550; T[1]= 0.295187861; T[2]= -0.530127168; x= -0.040670235; y=  -0.052975029; z=  -0.088914238; w= 0.993797660
timeStamp= 1305031456.591650963; T[0]= -0.820334375; T[1]= 0.299056441; T[2]= -0.517973363; x= -0.042690359; y=  -0.048791099; z=  -0.077718422; w= 0.994865239
timeStamp= 1305031456.627612114; T[0]= -0.826385558; T[1]= 0.310432702; T[2]= -0.511075199; x= -0.053373247; y=  -0.044192810; z=  -0.071420088; w= 0.995036423
timeStamp= 1305031456.691612005; T[0]= -0.871546686; T[1]= 0.292030126; T[2]= -0.485418141; x= -0.070146360; y=  -0.026879055; z=  -0.056721989; w= 0.995559990
timeStamp= 1305031456.727693081; T[0]= -0.883918881; T[1]= 0.310021877; T[2]= -0.477236003; x= -0.070582375; y=  -0.025110178; z=  -0.046132032; w= 0.996122181
timeStamp= 1305031456.791649103; T[0]= -0.918325424; T[1]= 0.294772148; T[2]= -0.460165441; x= -0.078824006; y=  -0.032098275; z=  -0.031700019; w= 0.995867252
timeStamp= 1305031456.827603102; T[0]= -0.920161068; T[1]= 0.312920094; T[2]= -0.453015924; x= -0.076394245; y=  -0.038083620; z=  -0.023409199; w= 0.996075094
timeStamp= 1305031456.891671896; T[0]= -0.937870443; T[1]= 0.305022448; T[2]= -0.423122644; x= -0.089782245; y=  -0.036445078; z=  -0.010396440; w= 0.995240092
timeStamp= 1305031456.927690029; T[0]= -0.952330470; T[1]= 0.313208818; T[2]= -0.422265053; x= -0.083017036; y=  -0.027280556; z=  -0.005620489; w= 0.996158779
timeStamp= 1305031456.959666967; T[0]= -0.965000927; T[1]= 0.328972697; T[2]= -0.419601381; x= -0.081153266; y=  -0.020414721; z=  -0.000607896; w= 0.996492386
timeStamp= 1305031456.991708994; T[0]= -0.978830755; T[1]= 0.323513538; T[2]= -0.409600973; x= -0.092293128; y=  -0.014782118; z=  0.001202871; w= 0.995621443
timeStamp= 1305031457.027647972; T[0]= -0.993280530; T[1]= 0.323960245; T[2]= -0.406397045; x= -0.094050445; y=  -0.008557770; z=  0.004482942; w= 0.995520592
timeStamp= 1305031457.091655016; T[0]= -1.016278386; T[1]= 0.329347372; T[2]= -0.402412117; x= -0.106714949; y=  0.002853217; z=  0.014090034; w= 0.994185686
timeStamp= 1305031457.127631903; T[0]= -1.029135942; T[1]= 0.321703047; T[2]= -0.400439560; x= -0.111414075; y=  0.010436265; z=  0.018342542; w= 0.993550003
timeStamp= 1305031457.191735029; T[0]= -1.055921912; T[1]= 0.324154109; T[2]= -0.410467952; x= -0.108009830; y=  0.027251240; z=  0.030624552; w= 0.993304253
timeStamp= 1305031457.227543116; T[0]= -1.071113229; T[1]= 0.320263803; T[2]= -0.413432032; x= -0.112545006; y=  0.035455398; z=  0.036485586; w= 0.992343366
timeStamp= 1305031457.291656017; T[0]= -1.096243978; T[1]= 0.307351649; T[2]= -0.426136494; x= -0.104903944; y=  0.052144140; z=  0.048398856; w= 0.991934299
timeStamp= 1305031457.327548027; T[0]= -1.111395240; T[1]= 0.311870009; T[2]= -0.436496139; x= -0.100112282; y=  0.062409818; z=  0.053252719; w= 0.991587937
timeStamp= 1305031457.391684055; T[0]= -1.141940475; T[1]= 0.293398947; T[2]= -0.451321393; x= -0.098450206; y=  0.087930530; z=  0.065191828; w= 0.989103496
timeStamp= 1305031457.427640915; T[0]= -1.166289091; T[1]= 0.294437110; T[2]= -0.463136792; x= -0.093470767; y=  0.098527417; z=  0.072551444; w= 0.988074839
timeStamp= 1305031457.491704941; T[0]= -1.193744063; T[1]= 0.277250499; T[2]= -0.478551775; x= -0.094251834; y=  0.104526132; z=  0.080787323; w= 0.986744285
timeStamp= 1305031457.527637959; T[0]= -1.206709146; T[1]= 0.268853307; T[2]= -0.488354683; x= -0.091075517; y=  0.108337559; z=  0.083549380; w= 0.986401439
timeStamp= 1305031457.559684992; T[0]= -1.220920563; T[1]= 0.263243616; T[2]= -0.498073965; x= -0.087403573; y=  0.113668084; z=  0.087244488; w= 0.985813677
timeStamp= 1305031457.591677904; T[0]= -1.240440488; T[1]= 0.261936486; T[2]= -0.508252978; x= -0.083124094; y=  0.119882159; z=  0.090930872; w= 0.985114336
timeStamp= 1305031457.627526045; T[0]= -1.255748272; T[1]= 0.249698818; T[2]= -0.514529467; x= -0.084143534; y=  0.121251084; z=  0.093660489; w= 0.984604359
timeStamp= 1305031457.659631968; T[0]= -1.275303364; T[1]= 0.251835912; T[2]= -0.524972856; x= -0.078854382; y=  0.125641719; z=  0.097720243; w= 0.984097004
timeStamp= 1305031457.691570044; T[0]= -1.288284540; T[1]= 0.246135175; T[2]= -0.529084802; x= -0.084082581; y=  0.125405818; z=  0.100656599; w= 0.983398080
timeStamp= 1305031457.727669001; T[0]= -1.297465086; T[1]= 0.227508694; T[2]= -0.530466616; x= -0.088398956; y=  0.125334173; z=  0.099187754; w= 0.983177900
timeStamp= 1305031457.759556055; T[0]= -1.306645036; T[1]= 0.216805756; T[2]= -0.532900453; x= -0.086137742; y=  0.125653028; z=  0.097622961; w= 0.983494461
timeStamp= 1305031457.791567087; T[0]= -1.314031601; T[1]= 0.196772680; T[2]= -0.535565853; x= -0.081948742; y=  0.129219875; z=  0.096076936; w= 0.983542502
timeStamp= 1305031457.827698946; T[0]= -1.334438562; T[1]= 0.200903505; T[2]= -0.547386467; x= -0.068611234; y=  0.140304074; z=  0.096743368; w= 0.982979119
timeStamp= 1305031457.859622955; T[0]= -1.348817348; T[1]= 0.191554680; T[2]= -0.550855041; x= -0.066345878; y=  0.149139494; z=  0.097255513; w= 0.981782556
timeStamp= 1305031457.891592979; T[0]= -1.363391042; T[1]= 0.165724292; T[2]= -0.550822020; x= -0.062809527; y=  0.157658443; z=  0.098757572; w= 0.980533421
timeStamp= 1305031457.927633047; T[0]= -1.387336493; T[1]= 0.167566702; T[2]= -0.553890228; x= -0.046645325; y=  0.164776996; z=  0.100104019; w= 0.980128527
timeStamp= 1305031457.991643906; T[0]= -1.416248441; T[1]= 0.148485079; T[2]= -0.550098300; x= -0.037135817; y=  0.168946564; z=  0.104657851; w= 0.979349136
timeStamp= 1305031458.027844906; T[0]= -1.427064180; T[1]= 0.136984527; T[2]= -0.548339725; x= -0.028866898; y=  0.172779456; z=  0.105126411; w= 0.978908777
timeStamp= 1305031458.059689045; T[0]= -1.446804762; T[1]= 0.145162165; T[2]= -0.546010554; x= -0.017035205; y=  0.179639727; z=  0.107519969; w= 0.977690578
timeStamp= 1305031458.091690063; T[0]= -1.461954355; T[1]= 0.144376189; T[2]= -0.540388763; x= -0.016661664; y=  0.184145600; z=  0.109363586; w= 0.976653695
timeStamp= 1305031458.127604961; T[0]= -1.477759600; T[1]= 0.132053688; T[2]= -0.529504240; x= -0.019826442; y=  0.189316913; z=  0.109579094; w= 0.975581110
timeStamp= 1305031458.159637928; T[0]= -1.499001026; T[1]= 0.122999802; T[2]= -0.514445484; x= -0.018779367; y=  0.194863722; z=  0.110847026; w= 0.974365652
timeStamp= 1305031458.191646099; T[0]= -1.521378040; T[1]= 0.126991570; T[2]= -0.501917362; x= -0.016718766; y=  0.196891069; z=  0.114351369; w= 0.973590314
timeStamp= 1305031458.227611065; T[0]= -1.532633424; T[1]= 0.122438341; T[2]= -0.486965179; x= -0.024168041; y=  0.192568168; z=  0.115306839; w= 0.974185705
timeStamp= 1305031458.259933949; T[0]= -1.543315053; T[1]= 0.089358993; T[2]= -0.466950417; x= -0.033018425; y=  0.192051053; z=  0.113593407; w= 0.974229276
timeStamp= 1305031458.291663885; T[0]= -1.563183904; T[1]= 0.087159738; T[2]= -0.457606256; x= -0.023147222; y=  0.189623550; z=  0.112664104; w= 0.975096881
timeStamp= 1305031458.327627897; T[0]= -1.581099153; T[1]= 0.083748944; T[2]= -0.435887247; x= -0.020748019; y=  0.186355919; z=  0.115351692; w= 0.975466549
timeStamp= 1305031458.359590054; T[0]= -1.587634444; T[1]= 0.064565316; T[2]= -0.416615009; x= -0.016754419; y=  0.182738587; z=  0.116944991; w= 0.976037800
timeStamp= 1305031458.391625881; T[0]= -1.600698829; T[1]= 0.071842760; T[2]= -0.403523564; x= -0.001284871; y=  0.181004196; z=  0.118880562; w= 0.976270080
timeStamp= 1305031458.427598000; T[0]= -1.605613947; T[1]= 0.071958676; T[2]= -0.384714067; x= 0.007632862; y=  0.180758387; z=  0.126741558; w= 0.975297272
timeStamp= 1305031458.459636927; T[0]= -1.602599859; T[1]= 0.056854725; T[2]= -0.371013194; x= 0.015301005; y=  0.184598327; z=  0.132280245; w= 0.973751128
timeStamp= 1305031458.491695881; T[0]= -1.605505228; T[1]= 0.048783828; T[2]= -0.354966074; x= 0.033781044; y=  0.194924697; z=  0.130621403; w= 0.971494317
timeStamp= 1305031458.527736902; T[0]= -1.624012947; T[1]= 0.075303219; T[2]= -0.332294673; x= 0.061314210; y=  0.209301546; z=  0.125812307; w= 0.967783391
timeStamp= 1305031458.559628010; T[0]= -1.628737330; T[1]= 0.079151519; T[2]= -0.312051058; x= 0.068100236; y=  0.218469396; z=  0.122807302; w= 0.965687275
timeStamp= 1305031458.591640949; T[0]= -1.640474439; T[1]= 0.088808537; T[2]= -0.288593709; x= 0.080841623; y=  0.226572201; z=  0.117374659; w= 0.963510692
timeStamp= 1305031458.627659082; T[0]= -1.652421951; T[1]= 0.125347942; T[2]= -0.257582486; x= 0.089458764; y=  0.227668256; z=  0.109912671; w= 0.963370919
timeStamp= 1305031458.659622908; T[0]= -1.662811637; T[1]= 0.123881042; T[2]= -0.231575459; x= 0.082024544; y=  0.226350591; z=  0.110768810; w= 0.964244604
timeStamp= 1305031458.691673994; T[0]= -1.667487264; T[1]= 0.125597656; T[2]= -0.212014481; x= 0.075346895; y=  0.211171269; z=  0.105357625; w= 0.968828857
timeStamp= 1305031458.727649927; T[0]= -1.658488870; T[1]= 0.121310286; T[2]= -0.189598322; x= 0.071951114; y=  0.195196256; z=  0.097542726; w= 0.973245561
timeStamp= 1305031458.759944916; T[0]= -1.660617471; T[1]= 0.128516883; T[2]= -0.174786717; x= 0.078456327; y=  0.179575011; z=  0.085644670; w= 0.976863563
timeStamp= 1305031458.791631937; T[0]= -1.654636025; T[1]= 0.147356555; T[2]= -0.159487560; x= 0.081041634; y=  0.161146894; z=  0.075976901; w= 0.980658650
timeStamp= 1305031458.827564001; T[0]= -1.645031333; T[1]= 0.147037312; T[2]= -0.145471245; x= 0.074400075; y=  0.150021836; z=  0.074933447; w= 0.983027518
timeStamp= 1305031458.891664982; T[0]= -1.637676954; T[1]= 0.139530107; T[2]= -0.131846830; x= 0.079562061; y=  0.144536629; z=  0.064525977; w= 0.984182596
timeStamp= 1305031458.927620888; T[0]= -1.647172213; T[1]= 0.150535151; T[2]= -0.116467685; x= 0.081011042; y=  0.152714610; z=  0.069836304; w= 0.982465446
timeStamp= 1305031458.959616899; T[0]= -1.652527928; T[1]= 0.142822132; T[2]= -0.106283918; x= 0.072940499; y=  0.159222752; z=  0.083603628; w= 0.980988383
timeStamp= 1305031458.991647005; T[0]= -1.668226838; T[1]= 0.111513734; T[2]= -0.096321419; x= 0.067970559; y=  0.167096511; z=  0.086642511; w= 0.979771316
